,profile
338,"Business Specialist, Logistics / Inventory / Distribution / Transportation"
339,Call Center Agent
340,Call Center Representative
341,Call Center Supervisor
342,Call Center Team Lead
343,Call Center and Customer Service Executive
344,Cargo Agent
345,Cargo and Freight Agent
346,Cash Management Coordinator
347,Cash Posting Clerk
348,Change Analyst
349,"Claims Adjudicator, Medical"
350,Claims Handler
351,Claims Processor
352,Claims Processor/Billing
353,"Claims Supervisor, Insurance"
354,Clerical Assistant
355,Clerical Supervisor
356,Clerk Typist
357,Client Onboarding Specialist
358,Client Relations Associate
359,Client Relations Specialist
360,Client Services Analyst
361,Client Services Associate
362,Client Services Coordinator
363,Client Services Representative
364,Client Services Specialist
365,Client Support Analyst
366,Client Support Specialist
367,Clinical Documentation Specialist
368,Collection Agent
369,Collections Clerk
370,"Collections Clerk, Banking"
371,Collections Coordinator
372,Collections Manager
373,Collections Representative
374,Collections Specialist
375,Communications Officer
376,"Computer Operations Specialist, Data Center"
377,Computer Operator
378,"Computer Operator, Mainframe"
379,Console Operator
380,"Consultant, Human Resources (HR)"
381,Contract Administration Manager
382,Contract Administrator
383,Copy Editor
384,Corporate Secretary
385,Cost Estimating Manager
386,Courier / Messenger
387,Court Clerk
388,Credit Authorizer / Checker / Clerk
389,Credit Card Control Clerk
390,Credit / Collections Manager
391,Credit / Collections Officer
392,Credit / Collections Supervisor
393,Credit Controller
394,Customer Care Executive
395,Customer Care Specialist
396,Customer Experience Manager
397,Customer Relations Assistant
398,"Customer Service Administration Assistant, Call Center"
399,Customer Service Advisor
400,Customer Service Agent
401,Customer Service Analyst
402,Customer Service Assistant
403,Customer Service Associate
404,Customer Service Coordinator
405,Customer Service Officer
406,Customer Service Representative (CSR)
407,Customer Service Specialist
408,Customer Service Supervisor
409,Customer Service Team Leader
410,Customer Success Associate
411,Customer Success Manager
412,Customer Support Analyst
413,Customer Support Manager
414,Customer Support Representative
415,Customer Support Specialist
416,Data Analysis Intern
417,Data Analyst
418,Data Entry Clerk
419,Data Entry Operator
420,Data Entry Specialist
421,Data Entry Supervisor
422,Data Processor
423,Debt Collector
424,Deliverer
425,Demand Planner
426,Deputy Clerk
427,Desktop Publisher
428,"Director, Customer Experience"
429,Dispatch Manager
430,Dispatch Supervisor
431,Document Control Specialist
432,Document Controller
433,Documentation Specialist
434,Duty Manager
435,Employee Engagement Manager
436,Employee Relations Assistant
437,Entry Level Actuarial Analyst
438,Executive Administrative Assistant
439,Executive Administrator
440,Executive Assistant
441,Executive Assistant to CEO
442,Executive Coordinator
443,Executive Secretary
444,Executive Secretary or Administrative Assistant
445,Expeditor
446,Facilities Administrator
447,File Clerk
448,Finance Assistant
449,Finance Intern
450,Finance & Administration Manager
451,Financial Assistant
452,Financial Reporting Manager
453,First-Line Supervisor / Manager of Office and Administrative Support Workers
454,Fleet Dispatcher (Trucking & Transportation)
455,Flight Dispatcher
456,Freight Forwarder
457,Front Desk Agent
458,Front Desk Clerk
459,Front Desk Receptionist
460,"Front Desk Receptionist, Medical Office"
461,"Front Desk Receptionist, Medical or Dental Office"
462,Front Desk Supervisor
463,Front Office Coordinator
464,Front Office Supervisor
465,Full Charge Bookkeeper
466,General Teller
467,Group Accountant
468,Guest Service Associate
469,Guest Services Agent
470,Guest Services Representative
471,Guest Services Supervisor
472,Head Teller
473,"Head Teller, Banking"
474,Hospital Admitting Clerk
475,Hotel Receptionist
476,Hotel Reservation Clerk
477,Human Resources Advisor
478,Human Resources Assistant (except Payroll and Timekeeping)
479,Human Resources (HR) Assistant
480,Human Resources (HR) Associate
481,Human Resources (HR) Intern
482,Human Resources (HR) Officer
483,Human Resources (HR) Specialist
484,Human Resources Information Systems Analyst (HRIS)
485,Income Auditor
486,Information Analyst
487,Insurance Claim or Policy Processing Clerk
488,Insurance Claims Assistant
489,Insurance Claims Handler
490,Insurance Claims Processor
491,Insurance Verifier
492,Intermediate Accountant
493,International Logistics Coordinator
494,Inventory Analyst
495,Inventory Control Manager
496,Inventory Control Supervisor
497,Inventory Controller
498,Inventory Coordinator
499,Inventory Manager
500,Inventory Planner
501,Inventory Specialist
502,Invoice Clerk
503,Job Order Clerk
504,Junior Data Analyst
505,Lead Data Entry Operator
506,Legal Manager
507,Legal Secretary
508,Legal Services Associate Manager
509,Library Assistant
510,Loan Collector
511,Loan Processor
512,"Loan Underwriter, Mortgage"
513,Logistics Assistant
514,Logistics Clerk
515,Logistics Coordinator
516,Logistics Specialist
517,Logistics Team Leader
518,Management Assistant
519,"Manager, Data Entry"
520,Master Data Analyst
521,Master Scheduler
522,Material Controller
523,Material Planner
524,Materials Coordinator
525,Materials Specialist
526,Medical Biller
527,Medical Billing Clerk
528,Medical Billing Manager
529,Medical Billing Specialist
530,Medical Copy Editor / Proofreader
531,Medical Office Administrator
532,Medical Receptionist
533,Medical Secretary
534,Member Service Representative
535,Meter Reader
536,Mortgage Loan Closer
537,Mortgage Loan Processor
538,National Credit / Collections Manager
539,Ocean Export Coordinator
540,Office Administrator
541,Office Assistant
542,Office Assistant/Database Administrator
543,"Office Clerk, General"
544,Office Coordinator
545,Office Helper
546,Office Manager
547,"Office Manager, Law Firm"
548,"Office Manager, Medical Office"
549,Office Supervisor
550,Office Support Specialist
551,"Operations Coordinator, Logistics"
552,"Operations Supervisor, Banking"
553,Order Analyst
554,Order Caller
555,Order Filler
556,Order Processing Manager
557,Order Processing Supervisor
558,Order Processor
559,Order Processor/Sales Coordinator
560,Order Selector
561,Page Designer
562,Patient Advocate
563,Patient Care Coordinator
564,Patient Care Manager
565,Patient Coordinator
566,Patient Services Representative
567,"Payment Depositor, Medical Billing"
568,Payroll Administrator
569,Payroll Analyst
570,Payroll Assistant
571,Payroll Clerk
572,Payroll Coordinator
573,Payroll Manager
574,Payroll Officer
575,Payroll Processor
576,Payroll Specialist
577,Payroll Supervisor
578,Payroll & Benefits Team Lead
579,Personal Assistant
580,Personal Banker
581,"Police, Fire, or Ambulance Dispatcher"
582,Postman
583,Postmaster
584,Postmaster or Mail Superintendent
585,Practice Director
586,Process Server
587,Procurement Analyst
588,Procurement Assistant
589,Procurement Clerk
590,Procurement Lead
591,Production Analyst
592,Production Controller
593,"Production Coordinator, Manufacturing"
594,"Production Planner, Manufacturing"
595,"Production, Planning, or Expediting Clerk"
596,Production Scheduler
597,Program Delivery Lead (Training/Development)
598,"Project Administrator, Engineering"
599,Project Assistant
600,Proofreader
601,Proofreader or Copy Marker
602,Purchase Ledger Clerk
603,Purchase Order Checker
604,Purchasing Assistant
605,Real Estate Analyst
606,Real Estate Broker Liaison / Regional Assistant
607,Receptionist
608,Receptionist/Telephone Operator
609,Receptionist / Telephone Operator
610,Receptionist or Information Clerk
611,Records Clerk
612,Records Management Assistant
613,Regional Managing Director
614,Reinsurance Analyst
615,Research Associate (Unspecified Type)
616,"Research Technician, Biotechnology"
617,Reservation and Transportation Ticket Agent or Travel Clerk
618,Reservations Manager
619,Reservations Sales Agent
620,Retail Banker
621,Revenue Analyst
622,Revenue Cycle Analyst
623,Revenue Cycle Specialist
624,SCADA Technician
625,Sales Administration Assistant
626,Sales Administrator
627,Sales Coordinator
628,Sales Order Manager
629,Scanning Coordinator
630,Scheduling Coordinator
631,Secretary
632,"Secretary, (but not Legal, Medical, or Executive)"
633,Secretary to CEO
634,Senior Accounting Manager
635,Senior Actuarial Analyst
636,Senior Contracts Manager
637,Senior Credit Officer
638,Senior Customer Service Representative (CSR)
639,Senior Data Analyst
640,Senior Executive Assistant
641,Senior Loan Processor
642,Senior Managing Director
643,Senior Medical Billing Specialist
644,Senior Mortgage Loan Processor
645,Senior Personal Banker
646,Senior Secretary
647,Service Team Leader
648,Shipping Clerk
649,Sr. Administrative Assistant
650,Sr. Payroll Manager
651,Sr. Payroll Processor
652,Staff Assistant
653,Staffing Coordinator
654,Statistical Assistant
655,"Stock Clerk, Grocery Store"
656,Stock Controller
657,Storeman
658,Storeperson
659,Strategic Sourcing Specialist
660,Support Services Assistant
661,Tax Supervisor
662,"Team Supervisor, Call Center"
663,Technical Coordinator
664,Technical Publications Manager
665,Telephone Operator
666,Teller
667,"Teller Supervisor, Banking"
668,Ticket Agent
669,Time and Attendance Clerk
670,Timekeeper
671,"Transaction Manager, Real Estate"
672,Transcriber
673,Typesetter
674,Typist
675,Verification Specialist
676,Virtual Assistant
677,Ward Clerk
678,Warranty Administrator
679,Word Processor / Typist
680,Agricultural Inspector
681,Agriculture Laborer
682,Crew Leader
683,Farm Manager
684,"Farm, Ranch, or Other Agricultural Manager"
685,Farm Worker
686,Farm Worker/Crop Field
687,Farmer
688,"General Manager, Farm"
689,Grader
690,Advanced Process Control (APC) Engineer
691,Aeronautical Engineer
692,Aerospace Engineer
693,Aerospace Stress Engineer
694,Aerospace Systems Engineer
695,Agricultural Engineer
696,"Applications Engineer, Manufacturing"
697,Architect (but not Landscape or Naval)
698,Architectural Designer
699,Architectural Drafter
700,Architectural Draftsman
701,Architectural Intern
702,Architectural Technologist
703,Architectural and Civil Drafter
704,Assistant Quantity Surveyor
705,AutoCAD Designer
706,"AutoCAD Designer, Structural"
707,AutoCAD Operator
708,Autocad Technician
709,Automation Engineer
710,Automation Engineering Manager
711,Automotive Designer
712,Automotive Engineer
713,Avionics Engineer
714,Biomedical Engineer
715,Biomedical Engineering Manager
716,Biomedical Manager
717,Building Information Modeling (BIM) Manager
718,Building Surveyor
719,Cartographer
720,Chemical Engineer
721,"Chemical Engineer, Research & Development (R&D)"
722,Chemical Process Engineer
723,Chief Engineer
724,Chief Mechanical Engineer
725,Civil Engineer
726,"Civil Engineer, Bridge"
727,"Civil Engineer, Infrastructure"
728,"Civil Engineer, Road / Highway"
729,Civil Engineer in Training
730,Civil Engineering Assistant
731,Civil Engineering Designer
732,Civil Engineering Drafter
733,Civil Engineering Supervisor
734,Civil Engineering Technician
735,Civil Engineering Technologist
736,"Clinical Specialist, Medical Devices"
737,Commissioning Engineer
738,Component Engineer
739,Computer Aided Design (CAD) Designer
740,Computer Aided Design (CAD) Drafter
741,Computer Aided Design (CAD) Engineer
742,Computer Aided Design (CAD) Operator
743,Computer Aided Design (CAD) Technician
744,Computer Aided Design and Drafting (CADD) Operator
745,Computer Aided Design and Drafting (CADD) Technician
746,Computer Hardware Engineer
747,Construction Engineer
748,"Consultant, Industrial Engineering"
749,Consulting Engineer
750,Control / Automation Engineer
751,Control / Automation Technician
752,Control Systems Engineer
753,Controls Engineer
754,Controls Project Engineer
755,Corrosion Engineer
756,Design Architect
757,Design Engineer
758,"Design Engineer, Analog and Mixed Signal"
759,Design Engineering Manager
760,Design Project Manager
761,Design Verification Engineer
762,Desktop Engineer
763,Desktop Support Engineer
764,Development Design Engineer
765,"Development Engineer, Manufacturing"
766,Digital Design Engineer
767,Director of Engineering
768,Documentation Engineer
769,Drafter Civil
770,Drafter Design
771,Draftsperson
772,Draughtsman
773,Draughtsperson
774,"Drawings Checker, Engineering"
775,Drilling Engineer
776,Electrical Automation Engineer
777,Electrical Design Engineer
778,Electrical Designer
779,Electrical / Electronics Drafter
780,Electrical Engineer
781,Electrical Engineering Manager
782,Electrical Engineering Technologist
783,Electrical Technician
784,Electrical Test Engineer
785,Electrical-Transmission Engineer
786,Electrical & Instrument Engineer
787,Electronic Calibration Technician
788,Electronic Design Automation (EDA) Engineer
789,Electronics Design Engineer
790,Electronics Engineer
791,Electronics Engineering Technician
792,Electronics Hardware Design Engineer
793,Electronics Technician
794,Elevator Engineer
795,Embedded Hardware Engineer
796,Energy Analyst
797,Energy Engineer
798,"Engineer, Hydraulic"
799,"Engineer, Power Distribution"
800,Engineer Refrigeration
801,Engineering Analyst
802,Engineering Director
803,Engineering Group Manager
804,Engineering Intern
805,Engineering Lab Assistant
806,Engineering Manager
807,Engineering Supervisor
808,Engineering Team Leader
809,Engineering Technician
810,"Engineering Technician, Electrical"
811,"Engineering Technician, Oil & Gas"
812,Environmental Engineer
813,Environmental Health & Safety (EHS) Engineer
814,Environmental Health & Safety (EHS) Manager
815,Equipment Engineer
816,Escalation Engineer
817,Facilities Engineer
818,Facility Engineer
819,Failure Analysis Engineer
820,Fiber Optic Technician
821,Field Application Engineer
822,Field Engineer
823,"Field Engineer, Construction"
824,Field Service Engineer
825,"Field Service Engineer, Electrical Equipment"
826,"Field Service Engineer, Medical Equipment"
827,"Field Service Engineer, Networking Equipment"
828,"Field Service Engineer, Oil & Gas (Industrial)"
829,"Field Service Engineer, Telecommunications"
830,Field Service Representative
831,Field Service Technician
832,"Field Technician, Automation"
833,Fire Protection Engineer
834,Geographic Information Systems (GIS) Cartographer
835,Geographic Information Systems (GIS) Mapping Technician
836,Geotechnical Engineer
837,Graduate Civil Engineer
838,Graduate Surveyor
839,Green Building & Retrofit Architect
840,HVAC Commissioning Engineer
841,HVAC Design Engineer
842,HVAC Designer
843,HVAC Engineer
844,HVAC Mechanical Engineer
845,HVAC Project Engineer
846,Hardware Design Engineer
847,Hardware Engineer
848,Health and Safety Manager
849,Human Factors Engineer
850,Industrial Automation Engineer
851,Industrial Engineer
852,Industrial Engineering Manager
853,Instrument Technician
854,Instrument and Electronics Technician
855,Instrumentation Engineer
856,Instrumentation & Controls (I&C) Technician
857,Integration Engineer
858,Interior Architect
859,Intern Architect
860,Junior Automation Engineer
861,Junior Mechanical Engineer
862,Junior Quantity Surveyor
863,Land Surveyor
864,Land Surveyor Assistant
865,"Land Surveyor, Field Supervisor"
866,"Land Surveyor, Lead"
867,Landscape Architect
868,Landscape Designer
869,Lead Instrument Engineer
870,Lighting Engineer
871,Machine Design Engineer
872,Manufacturing Engineer
873,Manufacturing Engineering Manager
874,Manufacturing Process Engineer
875,Manufacturing Technician
876,"Manufacturing Technician, Pharmaceuticals"
877,Marine Engineer
878,Marine Engineer or Naval Architect
879,Marine Surveyor
880,Materials Engineer
881,Mechanical Design Engineer
882,Mechanical Designer
883,Mechanical Drafter
884,Mechanical Engineer
885,Mechanical Engineering Intern
886,Mechanical Engineering Manager
887,Mechanical Engineering Technician
888,Mechanical Engineering Technologist
889,Mechanical Project Engineer
890,Mechanical Technician
891,Metallurgical Engineer
892,Metallurgist - Process
893,Metrology Calibration Technician
894,Mining Engineer
895,Naval Architect
896,"Network Engineer, Wireless RF"
897,Nuclear Engineer
898,Operations Engineer
899,Optical Engineer
900,Optimization Engineer
901,Packaging Engineer
902,Packaging Technology Specialist
903,Performance Engineer
904,Petroleum Engineer
905,Photogrammetrist
906,Physical Design Engineer
907,Piping Designer
908,Plant Engineer
909,Plumbing Engineer
910,Power Engineer
911,Power Plant Engineer
912,Power Plant Operations Engineer
913,Power Transmission Engineer
914,Principal Architect
915,Principal Automation Engineer
916,Principal Electrical Engineer
917,Principal Engineer
918,"Principal Engineer, Semiconductor"
919,"Principal Engineer, Structural"
920,Principal Mechanical Engineer
921,Principal Process Engineer
922,Principal Systems Engineer
923,Printed Circuit Designer
924,Process Automation Engineer
925,Process Development Engineer
926,Process Engineer
927,Process Engineering Manager
928,Process Improvement Engineer
929,"Product Development Engineer, Automotive"
930,Product Engineering Manager
931,Product Support Engineer
932,Production Engineer
933,Production Technician
934,Professional Engineer
935,Professional Land Surveyor
936,"Program Manager, Engineering"
937,Project Engineer
938,"Project Engineer, Automotive"
939,"Project Engineer, Aviation/Aerospace"
940,"Project Engineer, Construction"
941,"Project Engineer, Electronics"
942,"Project Engineer, Industrial"
943,"Project Engineer, Manufacturing"
944,"Project Engineer, Metal Fabrication"
945,"Project Engineer, Renewable Energy / Renewable Power"
946,Project Management Director
947,"Project Manager, Architecture"
948,"Project Manager, Engineering"
949,Quality Assurance (QA) / Quality Control (QC) Engineer
950,Quality Assurance (QA) Technician
951,Quality Control (QC) Specialist
952,Quality Control (QC) Technician
953,Quality Engineer
954,"Quality Engineer, Electronics"
955,"Quality Engineer, Medical Devices"
956,"Quality Engineer, Metal Machining"
957,Radio Frequency (RF) Engineer
958,Radio Frequency (RF) Optimization Engineer
959,Reliability Engineer
960,Research Engineer
961,Research and Development Engineer
962,Reservoir Engineer
963,Robotics Engineer
964,Safety Coordinator
965,Safety Engineer
966,Safety Officer
967,Senior ASIC Design Engineer
968,Senior ASIC Engineer
969,"Senior Application Engineer, Electrical / Power Control"
970,Senior Automation Engineer
971,Senior Chemical Engineer
972,Senior Civil Engineer
973,Senior Computer Aided Design (CAD) Designer
974,Senior Design Engineer
975,"Senior Director, Engineering"
976,Senior Drafter
977,Senior Electrical Engineer
978,Senior Electronics Design Engineer
979,Senior Electronics Engineer
980,Senior Energy Analyst
981,Senior Engineering Manager
982,Senior Engineering Technician
983,Senior Environmental Engineer
984,Senior Environmental Health & Safety (EHS) Engineer
985,Senior Field Engineer
986,Senior Hardware Design Engineer
987,Senior IC Layout Engineer
988,Senior Industrial Engineer
989,Senior Instrumentation Engineer
990,Senior Integrated Circuits (IC) Design Engineer
991,Senior Manufacturing Engineer
992,Senior Mechanical Design Engineer
993,Senior Mechanical Designer
994,Senior Mechanical Engineer
995,Senior Mechanical Engineering Designer
996,Senior Packaging Engineer
997,Senior Piping Designer
998,Senior Principal Architect
999,Senior Principal Engineer
1000,Senior Product Development Engineer
1001,Senior Product Engineer
1002,Senior Project Architect
1003,Senior Project Engineer
1004,"Senior Project Manager, Engineering"
1005,Senior Quality Assurance (QA) / Test Automation Engineer
1006,Senior Quality Engineer
1007,"Senior Research Engineer, Materials"
1008,Senior Research & Development (R&D) Engineer
1009,Senior Staff Engineer
1010,Senior Structural Engineer
1011,Senior Supplier Quality Engineer (SQE)
1012,Senior Test Engineer
1013,Service Engineer
1014,Site Reliability Engineer (SRE)
1015,Six Sigma Black Belt Engineer
1016,Six Sigma Black Belt Project Manager
1017,Solar Energy / Solar Power Engineer
1018,Sr. Associate Architect (but not Landscape or Naval)
1019,Sr. Geotechnical Engineer
1020,Sr. Landscape Architect
1021,Staff Design Engineer
1022,Staff Engineer
1023,"Staff Engineer, Civil Engineering"
1024,"Staff Engineer, Electrical Engineering"
1025,Steel Detailer
1026,Stress Analyst
1027,Stress Engineer
1028,Structural Design Engineer
1029,Structural Designer
1030,Structural Drafter
1031,Structural Engineer
1032,"Structural Engineer, Roads and Bridges"
1033,Supplier Quality Engineer (SQE)
1034,Supplier Quality Engineering Manager
1035,Supplier Quality Engineering Team Leader
1036,Surface Mount Technology (SMT) Process Engineer
1037,Survey Party Chief
1038,Survey Technician
1039,Surveying or Mapping Technician
1040,System Integration Engineer
1041,Technical Engineer
1042,Technical Illustrator
1043,Technical Manager
1044,Test Engineer
1045,Test Engineering Manager
1046,Textile Machinery Engineer
1047,Traffic Engineer
1048,Transportation Engineer
1049,Utility Engineer
1050,Validation Engineer
1051,"Vice President (VP), Engineering"
1052,Water Resources Engineer
1053,Water/Wastewater Engineer
1054,Welding Engineer
1055,Animation Designer
1056,Animation Director
1057,Animator
1058,"Animator, 2D"
1059,"Animator, 3D"
1060,"Animator, Flash"
1061,Art Director
1062,Assistant Art Director
1063,Assistant Fashion Designer
1064,Assistant Interior Designer
1065,Assistant Merchandise Manager
1066,Associate Art Director
1067,Character Artist
1068,Commercial Artist
1069,Compositor
1070,Concept Artist
1071,Creative Director
1072,Creative Services Manager
1073,DEVELOPMENT ENGINEER
